level;time;dmg;s;p;e;c;i;a;l;n
6;0.13;4.5;1;4;3;2;2;2;1;0
7;0.38;4.5;1;4;3;2;2;2;1;0
7;0.83;4.5;1;4;3;2;2;2;1;1
7;1.23;4.5;1;4;3;2;2;2;1;1
7;1.57;4.5;1;4;3;2;2;2;1;1
7;2.15;4.5;1;4;3;2;2;2;1;2
7;2.6;4.5;1;4;3;2;2;2;1;3
8;3;4.5;1;4;3;2;2;2;1;3
8;3.5;4.5;1;4;3;2;2;2;1;4
8;4;4.5;1;4;3;2;2;2;1;4
15;0.13;6;3;1;2;7;1;1;2;0
15;0.38;6;3;1;2;7;1;1;2;0
15;0.82;6;3;1;2;7;1;1;2;1
15;1.23;7;3;1;2;7;1;1;2;1
15;1.33;7;3;1;2;7;1;1;2;2
15;1.53;7;3;1;2;7;1;1;2;2
15;2.15;7;3;1;2;7;1;1;2;3
15;2.58;7;3;1;2;7;1;1;2;4
16;3;7;3;1;2;7;1;1;2;5
16;3.5;11.5;3;1;2;7;1;1;2;6
16;4;11.5;3;1;2;7;1;1;2;6
18;7.13;11.5;3;1;2;7;1;1;2;10
18;0.43;11.5;3;3;2;3;1;1;3;0
19;0.88;11.5;3;3;2;3;1;3;3;1
19;1.52;11.5;3;3;2;3;1;3;3;1
19;2.78;11.5;3;3;2;3;1;3;3;3
19;3.63;11.5;3;3;2;3;1;3;3;4
19;0.08;5;1;3;1;2;2;5;1;0
20;5;11.5;3;3;2;3;1;3;3;5
20;5.8;11.5;3;3;2;3;1;3;3;6
20;0.52;5;1;3;1;2;2;5;1;1
20;1.12;5;1;3;1;2;2;5;1;1
20;2.42;5;1;3;1;2;2;5;1;3
20;3.25;5;1;3;1;2;2;5;1;5
20;4.58;5;1;3;1;2;2;5;1;6
21;5.43;5;1;3;1;2;2;5;1;7
29;6.17;8;3;2;4;2;1;2;1;7
29;0.17;11;2;2;1;1;1;5;4;0
29;0.42;11;2;2;1;1;1;5;4;0
29;0.85;11;2;2;1;1;1;5;4;1
29;1.27;11;2;2;1;1;1;5;4;1
30;1.57;11;2;2;1;1;1;5;4;1
30;2.18;11;2;2;1;1;1;5;4;2
30;2.62;11;2;2;1;1;1;5;4;3
30;3;11;2;2;1;1;1;5;4;3
30;3.57;11;2;2;1;1;1;5;4;4
30;4;11;2;2;1;1;1;5;4;4
30;0.03;10.5;1;2;2;2;1;3;4;0
30;0.3;10.5;1;2;2;2;1;3;4;0
30;0.72;10.5;1;2;2;2;1;3;4;1
30;1.15;10.5;1;2;2;2;1;3;4;1
30;1.43;10.5;1;2;2;2;1;3;4;1
30;2.07;10.5;1;2;2;2;1;3;4;2
30;2.5;10.5;1;2;2;2;1;3;4;3
30;2.87;10.5;1;2;2;2;1;3;4;3
30;3.45;10.5;1;2;2;2;1;3;4;4
30;3.85;10.5;1;2;2;2;1;3;4;4
30;0;8;3;2;1;2;1;2;4;0
30;7.22;8;3;2;1;2;1;2;4;8
30;7.65;8;3;2;1;2;1;2;4;9
30;8.3;8;3;2;1;2;1;2;4;9
31;7.17;11;2;2;1;1;1;5;4;7
31;7;10.5;1;2;2;2;1;3;4;7
31;9.57;8;3;2;1;2;1;2;4;11
31;10.42;8;3;2;1;2;1;2;4;12
31;0.43;10.5;1;2;2;2;1;2;3;0
31;0.88;10.5;1;2;2;2;1;2;3;1
31;1.52;10.5;1;2;2;2;1;2;3;1
31;2.78;10.5;1;2;2;2;1;2;3;4
31;3.62;10.5;1;2;2;2;1;2;3;5
31;5;10.5;1;2;2;2;1;2;3;6
31;5.8;10.5;1;2;2;2;1;2;3;7
31;0.32;11;2;2;1;1;1;5;4;0
31;2.63;11;2;2;1;1;1;5;4;3
31;3.5;11;2;2;1;1;1;5;4;4
31;4.85;11;2;2;1;1;1;5;4;5
32;11.77;8;3;2;1;2;1;2;4;13
32;12.58;8;3;2;1;2;1;2;4;14
32;0.77;11;2;2;1;1;1;5;4;1
32;1.38;11;2;2;1;1;1;5;4;1
32;5.68;11;2;2;1;1;1;5;4;6
32;14.3;7;1;2;2;3;1;2;4;15
32;14.85;7;1;2;2;3;1;2;4;15
32;16.9;7;1;2;2;3;1;2;4;17
34;12.82;10.5;1;2;2;2;1;3;4;13
34;13.35;10.5;1;2;2;2;1;3;4;13
35;16.78;10.5;1;2;2;2;1;3;4;17
36;17.65;10.5;1;2;2;2;1;3;4;18
35;18.87;10.5;1;2;2;2;1;3;4;19
36;19.75;10.5;1;2;2;2;1;3;4;20
31;1.32;6;5;2;4;1;2;1;2;2
31;1.85;6;5;2;4;1;2;1;2;2
32;5.25;6;5;2;4;1;2;1;2;6
32;6.15;6;5;2;4;1;2;1;2;7
32;7.38;6;5;2;4;1;2;1;2;8
32;8.27;6;5;2;4;1;2;1;2;9
